parameter_combination_string,num_exp,hyperparameter_different,hyperparameter_same,hyperparameter_different_rel,val_train_descriptives_ks_statistic_mean_stratified,val_train_descriptives_ks_statistic_sd_stratified,val_train_descriptives_ks_statistic_mean_unstratified,val_train_descriptives_ks_statistic_sd_unstratified,val_train_descriptives_ks_statistic_mean_diff,val_train_descriptives_p_value_mean_stratified,val_train_descriptives_p_value_sd_stratified,val_train_descriptives_p_value_mean_unstratified,val_train_descriptives_p_value_sd_unstratified,val_train_descriptives_p_value_mean_diff,val_train_descriptives_intersection_area_mean_stratified,val_train_descriptives_intersection_area_sd_stratified,val_train_descriptives_intersection_area_mean_unstratified,val_train_descriptives_intersection_area_sd_unstratified,val_train_descriptives_intersection_area_mean_diff,RandomSearch_Mean_Val_MSE_unstratified,RandomSearch_Mean_Val_MSE_stratified,RandomSearch_Mean_Val_SD_unstratified,RandomSearch_Mean_Val_SD_stratified,RandomSearch_Mean_Val_MSE_diff,error_estimator_mean_stratified,error_estimator_sd_stratified,error_estimator_mean_unstratified,error_estimator_sd_unstratified,error_estimator_mean_diff,num_unique_stratified,counts_stratified,num_unique_unstratified,counts_unstratifed
rf_identity_200_5_0,120,66,54,0.55,0.025000000000000005,5.574390341028066e-17,0.14763541666666666,0.02300883315568773,-0.12263541666666665,1.0,0.0,0.5212696934350266,0.14332617388230207,0.4787303065649734,0.9573018338776501,0.0060212450447396865,0.881720195722071,0.01959184916828976,0.07558163815557906,7.464496264687999,7.332288982505433,0.684776917300904,0.4145502470458332,-0.1322072821825664,-0.27519420069250744,7.323039440168372,-0.34129784178379063,7.3911211010994,0.0661036410912832,[0 1 2 3 4 5],[ 1 19 47 26 19  8],[0 1 2 3 4],[16 40 35 20  9]
rf_identity_200_5_3,120,103,17,0.8583333333333333,0.025000000000000005,5.574390341028066e-17,0.14354166666666668,0.0218067412417682,-0.11854166666666667,1.0,0.0,0.5480829233083647,0.14405222221400832,0.4519170766916353,0.9589933510144331,0.0057233638085415995,0.8863125577291319,0.017170976540793047,0.07268079328530119,16.855705306603323,16.6931033950223,1.3399170945069323,0.8187349611324679,-0.16260191158102444,-0.37673668415240064,16.444663174105262,-0.4580376399429121,16.532927735260635,0.08130095579051144,[0 1 2 3 4 5],[13 36 35 18 11  7],[0 1 2 3 4 5],[10 32 36 19 15  8]
rf_identity_200_10_0,120,84,36,0.7,0.04711458333333333,0.001690276142639229,0.14854166666666666,0.02552872277013696,-0.10142708333333333,0.9999965392143892,1.2800499096944613e-06,0.5192602926810994,0.15380750229439752,0.48073624653328983,0.9527673543005653,0.005499245492463149,0.8814868416314845,0.020176331264377755,0.07128051266908075,7.354644380447799,7.2081773351765355,0.6242810493386071,0.3974804889085135,-0.14646704527126353,-0.20101414948868443,7.274638341648692,-0.27424767212431644,7.3499856116774875,0.07323352263563201,[0 1 2 3 4 5],[ 1 11 42 34 22 10],[0 1 2 3 4],[13 36 41 18 12]
rf_identity_200_10_3,120,104,16,0.8666666666666667,0.04703125,0.0017154642963643524,0.1505208333333333,0.0203872587325381,-0.1034895833333333,0.9999965962031323,1.2373515399214472e-06,0.5023777679533592,0.13353712615110444,0.4976188282497731,0.9559866355855651,0.004654861081525782,0.8838915703878926,0.019225292085678247,0.0720950651976725,16.54354407601883,16.23817318230076,1.2588252355280996,0.8921259663087651,-0.30537089371807014,-0.04091911105412917,16.321396719954162,-0.19360455791316397,16.476123959338565,0.1526854468590348,[0 1 2 3 4 5],[11 33 37 18 14  7],[0 1 2 3 4 5],[12 41 31 13 13 10]
rf_identity_1000_5_0,120,83,37,0.6916666666666667,0.005,3.483993963142541e-18,0.06770208333333333,0.011138749450487172,-0.06270208333333332,1.0,0.0,0.5104021239345885,0.14313079021765968,0.4895978760654115,0.9836649136233425,0.0019554792395803508,0.9395281095629368,0.009439481246245964,0.044136804060405765,4.031807710423248,4.0016574054945115,0.21144221195796117,0.12255781741491226,-0.030150304928736382,-0.1284497175882974,4.086910241952612,-0.1435248700526659,4.101598976831081,0.015075152464368496,[0 1 2 3 4],[ 1 67 39 12  1],[0 1 2 3 4 5],[ 1 60 40 17  1  1]
rf_identity_1000_5_3,120,91,29,0.7583333333333333,0.005,3.483993963142541e-18,0.0675375,0.010525811112680673,-0.0625375,1.0,0.0,0.5043032429244737,0.1496781413547479,0.4956967570755263,0.9849342590800688,0.0013175653246075654,0.940227078711024,0.008479194097225707,0.04470718036904486,13.026196508166414,12.965702115978003,0.4775289674989895,0.3272782442459532,-0.060494392188411794,-0.11006802413650031,12.913792472237256,-0.14031522023070708,12.944159993408233,0.03024719609420677,[0 1 2 3 4 5],[22 75 18  3  1  1],[0 1 2 3],[21 78 18  3]
rf_identity_1000_10_0,120,77,43,0.6416666666666667,0.009989583333333333,5.016604083103482e-05,0.06635624999999999,0.010295867985946287,-0.05636666666666666,1.0,0.0,0.5257886705333479,0.13980004947019767,0.4742113294666521,0.9832709950863034,0.0017246372146818277,0.9407606230143505,0.008669709756789786,0.04251037207195296,4.019944237139587,3.9905423504341195,0.1906468596440702,0.1285283456919927,-0.029401886705467284,-0.13592404706726835,4.065656785843342,-0.15062499042000177,4.080398297943225,0.01470094335273342,[0 1 2 3],[58 43 15  4],[0 1 2 3 4],[ 1 53 52 12  2]
rf_identity_1000_10_3,120,104,16,0.8666666666666667,0.009989583333333333,5.0166040831034904e-05,0.06711874999999999,0.009781594065283183,-0.05712916666666666,1.0,0.0,0.5121635861682401,0.14044095636105702,0.4878364138317599,0.9842903853575659,0.0013312683575678465,0.9411701796663804,0.00827038641629342,0.043120205691185465,13.099687215288247,13.05326461513212,0.44050804410296734,0.31510190841689967,-0.0464226001561272,-0.13844447904230991,12.973374260283938,-0.16165577912037415,12.996554093373582,0.02321130007806424,[0 1 2 3],[21 75 21  3],[0 1 2 3],[31 68 18  3]
rf_log_200_5_0,120,77,43,0.6416666666666667,0.025000000000000005,5.574390341028066e-17,0.1493020833333333,0.025001468356738523,-0.1243020833333333,1.0,0.0,0.5123443388123956,0.14936078972889863,0.4876556611876044,0.9342345293301648,0.009487248928989818,0.867942183786983,0.022494916800236273,0.06629234554318186,0.05499793087410151,0.05369457242637958,0.011357581783138325,0.008578966879662427,-0.0013033584477219265,-0.0011093754929814563,0.05442077841334356,-0.0017610547168424174,0.05507546920329261,0.0006516792238609611,[0 1 2 3 4],[ 8 20 51 22 19],[0 1 2 3 4],[ 8 26 42 20 24]
rf_log_200_5_3,120,101,19,0.8416666666666667,0.025000000000000005,5.574390341028066e-17,0.15171875,0.025113221820170263,-0.12671875000000002,1.0,0.0,0.4980250595611636,0.14957575354723204,0.5019749404388364,0.9475001179907578,0.009296022031865955,0.8749562232226153,0.022321892050472282,0.07254389476814249,0.04846351115555004,0.0473180857243133,0.008925949007800952,0.007483738578837363,-0.0011454254312367393,-0.0008533161681983138,0.04700302849783648,-0.0014260288838166882,0.04756600136837589,0.0005727127156183744,[0 1 2 3 4 5],[12 30 29 27 14  8],[0 1 2 3 4 5],[12 35 32 24 11  6]
