parameter_combination_string,num_exp,hyperparameter_different,hyperparameter_same,hyperparameter_different_rel,val_train_descriptives_ks_statistic_mean_stratified,val_train_descriptives_ks_statistic_sd_stratified,val_train_descriptives_ks_statistic_mean_unstratified,val_train_descriptives_ks_statistic_sd_unstratified,val_train_descriptives_ks_statistic_mean_diff,val_train_descriptives_p_value_mean_stratified,val_train_descriptives_p_value_sd_stratified,val_train_descriptives_p_value_mean_unstratified,val_train_descriptives_p_value_sd_unstratified,val_train_descriptives_p_value_mean_diff,val_train_descriptives_intersection_area_mean_stratified,val_train_descriptives_intersection_area_sd_stratified,val_train_descriptives_intersection_area_mean_unstratified,val_train_descriptives_intersection_area_sd_unstratified,val_train_descriptives_intersection_area_mean_diff,RandomSearch_Mean_Val_MSE_unstratified,RandomSearch_Mean_Val_MSE_stratified,RandomSearch_Mean_Val_SD_unstratified,RandomSearch_Mean_Val_SD_stratified,RandomSearch_Mean_Val_MSE_diff,error_estimator_mean_stratified,error_estimator_sd_stratified,error_estimator_mean_unstratified,error_estimator_sd_unstratified,error_estimator_mean_diff,num_unique_stratified,counts_stratified,num_unique_unstratified,counts_unstratifed
rf_identity_200_5_0,200,113,87,0.565,0.025,1.739076615759774e-17,0.149425,0.022121977975482644,-0.12442500000000001,1.0,0.0,0.510816962211412,0.13675910579891154,0.48918303778858796,0.9569135689663857,0.006527160187167946,0.8811388920242732,0.01839231248575045,0.07577467694211248,7.487550138226837,7.339533990880396,0.6681630860748108,0.41145524509699194,-0.14801614734644097,-0.2782061309838231,7.326696030166364,-0.352214204657043,7.403970510067763,0.07400807367321993,[0 1 2 3 4 5],[ 1 34 69 51 28 17],[0 1 2 3 4],[25 65 59 30 21]
rf_identity_200_5_3,200,172,28,0.86,0.025,1.739076615759774e-17,0.14343125,0.02195172206103029,-0.11843125000000002,1.0,0.0,0.5483961379747064,0.14171168708009083,0.45160386202529357,0.9594068129968045,0.005356052120035212,0.8866084556107324,0.018570825355104126,0.0727983573860721,16.78895183380937,16.566941660135967,1.3617205208855114,0.8563527726816456,-0.2220101736734037,-0.29375252821973225,16.399167463468466,-0.4047576150564352,16.514555225853034,0.11100508683670296,[0 1 2 3 4 5],[17 64 59 30 20 10],[0 1 2 3 4 5],[17 53 64 36 21  9]
rf_identity_200_10_0,200,128,72,0.64,0.0470625,0.0017487881662028879,0.1478625,0.024421893109776032,-0.1008,0.9999965584077777,1.327173635892121e-06,0.5233649160080752,0.15016873980838874,0.47663164239970246,0.9531056653312643,0.005360398564579972,0.8804360393680308,0.02024970040729038,0.07266962596323345,7.379797625006074,7.217503089097656,0.6353343564828412,0.3944623698761974,-0.16229453590841825,-0.19896903932795276,7.2878311891078305,-0.2801163072821623,7.369935971234041,0.08114726795420954,[0 1 2 3 4 5],[ 1 21 66 50 42 20],[0 1 2 3 4],[23 57 61 37 22]
rf_identity_200_10_3,200,174,26,0.87,0.04706250000000001,0.001675411522236916,0.14974375,0.021583911243338208,-0.10268125,0.9999965864977014,1.2032783404645715e-06,0.506177613900729,0.1400768807419261,0.4938189725969724,0.9555430665833543,0.004886875703945716,0.8835756697749403,0.019282025283268618,0.07196739680841402,16.629936978312575,16.31944316882065,1.213317439339969,0.9165697387354977,-0.3104938094919234,-0.10555093087244916,16.33792160307337,-0.2607978356184114,16.49505061664261,0.15524690474596226,[0 1 2 3 4 5],[13 64 58 33 21 11],[0 1 2 3 4 5],[17 64 58 27 20 14]
rf_identity_1000_5_0,200,142,58,0.71,0.004999999999999999,3.478153231519548e-18,0.0675425,0.011008708008211058,-0.0625425,1.0,0.0,0.5100765926802324,0.14757380062056089,0.4899234073197676,0.983632894158831,0.001924337376228502,0.9396715560353275,0.009208961332051834,0.04396133812350356,4.024523442133824,3.995299216450834,0.19856784151087614,0.12057059836337086,-0.029224225682990213,-0.13001313167266682,4.077362590681636,-0.14462524451416198,4.091862479566292,0.014612112841495162,[0 1 2 3 4],[  1 114  66  18   1],[0 1 2 3 4 5],[  1 110  64  23   1   1]
rf_identity_1000_5_3,200,145,55,0.725,0.004999999999999999,3.478153231519548e-18,0.06760375,0.010407805267680106,-0.06260375,1.0,0.0,0.5044788154118183,0.147798100574094,0.49552118458818173,0.9848415689505976,0.001267024031306866,0.939922765210982,0.00847903806631987,0.044918803739615654,13.022584900619098,12.96393461957603,0.4481048116638744,0.3186753128829958,-0.05865028104306802,-0.09738908645589006,12.92471200382293,-0.12671422697742352,12.953870904652197,0.029325140521533455,[0 1 2 3 4 5],[ 37 127  29   4   2   1],[0 1 2 3],[ 41 124  30   5]
rf_identity_1000_10_0,200,128,72,0.64,0.009987499999999998,5.462296533243624e-05,0.06681000000000001,0.010389712731989579,-0.05682250000000001,1.0,0.0,0.5184144750342997,0.14276367322540193,0.4815855249657003,0.9832598415237789,0.0017370964445888948,0.9404963590543172,0.008785078830232293,0.04276348246946171,4.023475227497038,3.994786106467039,0.1869888345454335,0.12149700881672895,-0.028689121029998432,-0.13923374503914465,4.067443156375318,-0.15357830555414392,4.081830572511938,0.014344560514999272,[0 1 2 3 4 5],[ 1 98 70 24  6  1],[0 1 2 3 4 5],[  2 103  74  17   3   1]
rf_identity_1000_10_3,200,168,32,0.84,0.009992499999999998,4.2753823773273996e-05,0.06784375000000001,0.010364749810326021,-0.05785125000000001,1.0,0.0,0.5073907768420374,0.1395006592262091,0.49260922315796263,0.9842814621955963,0.0013150150697373382,0.940173115005704,0.008792809987048842,0.044108347189892316,13.096554921307932,13.028429729162543,0.4511185611959959,0.32135070745245353,-0.06812519214538959,-0.1231078911327728,12.963691742015211,-0.15717048720546614,12.997618769931705,0.03406259607269334,[0 1 2 3 4],[ 28 131  35   5   1],[0 1 2 3],[ 43 119  34   4]
rf_log_200_5_0,200,134,66,0.67,0.025,1.739076615759774e-17,0.14756875,0.023651839431213368,-0.12256875,1.0,0.0,0.522692922625742,0.14252876416064406,0.47730707737425804,0.9355083987408702,0.009138063088087607,0.869903335236915,0.02125793158905071,0.06560506350395523,0.055266290943311216,0.053909675624917046,0.012448768529567354,0.009232300536996163,-0.0013566153183941707,-0.0010917434428335223,0.05470590462935705,-0.0017700511020306085,0.05540890864033222,0.0006783076591970862,[0 1 2 3 4],[18 38 68 36 40],[0 1 2 3 4],[17 45 64 35 39]
rf_log_200_5_3,200,167,33,0.835,0.025,1.739076615759774e-17,0.1505,0.024682659263979397,-0.1255,1.0,0.0,0.5052957118823963,0.14793332469042997,0.4947042881176037,0.9477502038187601,0.0088712963058135,0.8758391393461288,0.021189246231034548,0.07191106447263129,0.04796738153533028,0.04687533363944422,0.009340527559210521,0.007646548024607125,-0.0010920478958860586,-0.0006768134672221048,0.04676509755495024,-0.0012228374151651402,0.04729973503863943,0.0005460239479430353,[0 1 2 3 4 5],[18 46 50 47 23 16],[0 1 2 3 4 5],[20 56 44 42 22 16]
