parameter_combination_string,num_exp,hyperparameter_different,hyperparameter_same,hyperparameter_different_rel,val_train_descriptives_ks_statistic_mean_stratified,val_train_descriptives_ks_statistic_sd_stratified,val_train_descriptives_ks_statistic_mean_unstratified,val_train_descriptives_ks_statistic_sd_unstratified,val_train_descriptives_ks_statistic_mean_diff,val_train_descriptives_p_value_mean_stratified,val_train_descriptives_p_value_sd_stratified,val_train_descriptives_p_value_mean_unstratified,val_train_descriptives_p_value_sd_unstratified,val_train_descriptives_p_value_mean_diff,val_train_descriptives_intersection_area_mean_stratified,val_train_descriptives_intersection_area_sd_stratified,val_train_descriptives_intersection_area_mean_unstratified,val_train_descriptives_intersection_area_sd_unstratified,val_train_descriptives_intersection_area_mean_diff,RandomSearch_Mean_Val_MSE_unstratified,RandomSearch_Mean_Val_MSE_stratified,RandomSearch_Mean_Val_SD_unstratified,RandomSearch_Mean_Val_SD_stratified,RandomSearch_Mean_Val_MSE_diff,error_estimator_mean_stratified,error_estimator_sd_stratified,error_estimator_mean_unstratified,error_estimator_sd_unstratified,error_estimator_mean_diff,num_unique_stratified,counts_stratified,num_unique_unstratified,counts_unstratifed
xgb_identity_200_5_0,200,159,41,0.795,0.025,1.739076615759774e-17,0.1478,0.022100814009884284,-0.12279999999999999,1.0,0.0,0.5189295323343104,0.1413837943731158,0.4810704676656896,0.9561461189045258,0.006523896777245436,0.880378782758702,0.01879692091536605,0.07576733614582387,6.101605999031881,6.005519711081848,1.035883215992606,0.3907524055306802,-0.09608628795003327,-0.1403336332421737,8.04278544629078,-0.18837677721719115,8.09792769437254,0.04804314397501744,[0 1 2 3 4],[68 60 40 26  6],[0 1 2 3 4 5],[74 53 42 21  9  1]
xgb_identity_200_5_3,200,179,21,0.895,0.025,1.739076615759774e-17,0.15091249999999998,0.022026961408566376,-0.12591249999999998,1.0,0.0,0.5025493703418821,0.1343372688066495,0.4974506296581179,0.959264169173524,0.004925071264096941,0.8811681191480648,0.01816169677866193,0.07809605002545916,17.115774816385358,16.82574381279889,1.5000191027429781,1.0310570339595284,-0.29003100358646705,-0.09107493665094563,17.496513512912383,-0.2360904384441796,17.643383624811918,0.14501550179323397,[0 1 2 3 4 5 6 7 8 9],[28 11 16 21 20 13 17 14 24 36],[0 1 2 3 4 5 6 7 8 9],[15  9 12 20 16 14 24 26 33 31]
xgb_identity_200_10_0,200,156,44,0.78,0.047262500000000006,0.0016548523898404978,0.144875,0.023356802028638792,-0.09761249999999999,0.9999964446466492,1.1989242731708825e-06,0.540865833204588,0.14389576129970652,0.45913061144206113,0.9533459544884019,0.005717466709219243,0.8824049388258682,0.018876085869956996,0.07094101566253364,6.118197350966574,6.003345147595193,1.0253005119007792,0.3892569672616218,-0.11485220337138102,-0.1340791479698466,8.050743409317695,-0.19150524965553728,8.108665456297285,0.05742610168569068,[0 1 2 3 4 5 6],[76 54 38 20  8  3  1],[0 1 2 3 4 5 6 7],[69 61 33 19 10  6  1  1]
xgb_identity_200_10_3,200,189,11,0.945,0.047193750000000007,0.0016314738650563207,0.1490875,0.024587906978797317,-0.10189375,0.9999964568524963,1.193731673623063e-06,0.5150488345643063,0.14661038169281337,0.48494762228819,0.9545350580617616,0.005723835486298927,0.8829655938440745,0.019340621062105136,0.07156946421768717,17.010268561190934,16.802631048404407,1.3935837244167264,1.014091207743795,-0.2076375127865262,-0.08340262100957889,17.46826922304665,-0.18722137740284167,17.576847756838582,0.10381875639326278,[0 1 2 3 4 5 6 7 8 9],[15 17 14 17 17 23 27 22 19 29],[0 1 2 3 4 5 6 7 8 9],[12 21 21 17 20 20 19 22 25 23]
xgb_identity_1000_5_0,200,105,95,0.525,0.004999999999999999,3.478153231519548e-18,0.06664625,0.010396362111975352,-0.06164625000000001,1.0,0.0,0.5237118262396525,0.1451151670979483,0.4762881737603475,0.983365159425168,0.0018958212414825833,0.9406514509967903,0.008136375817383685,0.04271370842837774,4.1172527746936485,4.097942465014331,0.450445555171894,0.10472073509746303,-0.019310309679317683,-0.07107477433041508,7.234660458742547,-0.08072992917007404,7.24454787694241,0.009655154839658966,[0 1 2 3 4],[101  58  29  10   2],[0 1 2 3 4],[97 59 28 13  3]
xgb_identity_1000_5_3,200,170,30,0.85,0.004999999999999999,3.478153231519548e-18,0.069175,0.010951526361573585,-0.064175,1.0,0.0,0.48566174981503785,0.14836788033078682,0.5143382501849622,0.9847949335406182,0.0013080498175466451,0.9397839139293392,0.00884957784789443,0.04501101961127896,14.501578049416473,14.469832102649885,0.6205170972497409,0.41140279462337126,-0.03174594676658771,-0.037583765951194274,15.457982470362165,-0.05345673933448695,15.474995252903952,0.015872973383292674,[0 1 2 3 4 5 6 7 8 9],[19 14 18 19 21 14 25 18 24 28],[0 1 2 3 4 5 6 7 8 9],[18 12 17 19 17 19 26 25 26 21]
xgb_identity_1000_10_0,200,105,95,0.525,0.009987499999999998,5.462296533243633e-05,0.06808875,0.010284639272347452,-0.05810125000000001,1.0,0.0,0.5026269912176805,0.14172872828713998,0.4973730087823195,0.9834165810218707,0.0017397150860914833,0.9390492048016955,0.00926285323455881,0.04436737622017517,4.059539529136755,4.041893569827112,0.4814639517951482,0.1019988934950754,-0.01764595930964319,-0.06515013266180587,7.158336696059013,-0.07397311231662719,7.168227076056922,0.008822979654821317,[0 1 2 3 4],[93 64 36  6  1],[0 1 2 3 4],[89 67 36  6  2]
xgb_identity_1000_10_3,200,163,37,0.815,0.009993749999999997,3.9129183032924663e-05,0.06738875,0.009681021216611518,-0.057395,1.0,0.0,0.5115598779235281,0.13525075003416276,0.4884401220764719,0.9840941577849504,0.0014497665745363258,0.9408354692930311,0.007949022536529564,0.04325868849191927,14.558886009905272,14.512188664898579,0.6071870315208882,0.38776233983702213,-0.046697345006693425,-0.08889858409591588,15.443558153305666,-0.11224725659926062,15.467082467585309,0.023348672503344742,[0 1 2 3 4 5 6 7 8 9],[18 19 15 24 18 11 19 27 27 22],[0 1 2 3 4 5 6 7 8 9],[14 18 17 14 18 30 24 18 21 26]
xgb_log_200_5_0,200,166,34,0.83,0.025,1.739076615759774e-17,0.14895,0.024331011396526235,-0.12395,1.0,0.0,0.5159379794942773,0.14679328554464705,0.48406202050572267,0.9349703060805442,0.00965345625946581,0.8685137491072515,0.021459540272432513,0.06645655697329267,0.12117589386080535,0.11870304500794973,0.019451125136863177,0.012484289053710722,-0.002472848852855619,-0.0006698555394748666,0.12460623557904532,-0.0019062799659026726,0.12575009325918005,0.0012364244264278061,[0],[200],[0],[200]
xgb_log_200_5_3,200,156,44,0.78,0.025,1.739076615759774e-17,0.14859375,0.02150506013697648,-0.12359375,1.0,0.0,0.5153831982880624,0.1305190896681234,0.48461680171193755,0.9469424011333909,0.007759034995877718,0.877031086658805,0.018354498473603858,0.06991131447458587,0.08013225503246281,0.07898223566616713,0.010595639312000908,0.008304708356481371,-0.0011500193662956765,0.0006213874797914311,0.08083860990846872,4.6377796643594204e-05,0.08139944771702688,0.0005750096831478369,[0 1],[199   1],[0 1],[199   1]
