parameter_combination_string,num_exp,hyperparameter_different,hyperparameter_same,hyperparameter_different_rel,val_train_descriptives_ks_statistic_mean_stratified,val_train_descriptives_ks_statistic_sd_stratified,val_train_descriptives_ks_statistic_mean_unstratified,val_train_descriptives_ks_statistic_sd_unstratified,val_train_descriptives_ks_statistic_mean_diff,val_train_descriptives_p_value_mean_stratified,val_train_descriptives_p_value_sd_stratified,val_train_descriptives_p_value_mean_unstratified,val_train_descriptives_p_value_sd_unstratified,val_train_descriptives_p_value_mean_diff,val_train_descriptives_intersection_area_mean_stratified,val_train_descriptives_intersection_area_sd_stratified,val_train_descriptives_intersection_area_mean_unstratified,val_train_descriptives_intersection_area_sd_unstratified,val_train_descriptives_intersection_area_mean_diff,RandomSearch_Mean_Val_MSE_unstratified,RandomSearch_Mean_Val_MSE_stratified,RandomSearch_Mean_Val_SD_unstratified,RandomSearch_Mean_Val_SD_stratified,RandomSearch_Mean_Val_MSE_diff,error_estimator_mean_stratified,error_estimator_sd_stratified,error_estimator_mean_unstratified,error_estimator_sd_unstratified,error_estimator_mean_diff,num_unique_stratified,counts_stratified,num_unique_unstratified,counts_unstratifed
xgb_identity_200_5_0,110,86,24,0.7818181818181819,0.024999999999999994,5.576520817062673e-17,0.14859090909090908,0.021882524322518294,-0.12359090909090908,1.0,0.0,0.5156419849817725,0.13740122192047952,0.4843580150182275,0.9563537963396557,0.006469738275502204,0.8799635434626928,0.018848701992637894,0.07639025287696288,6.174442490893174,6.092826640894912,1.0485422512573392,0.38483821795214324,-0.08161584999826221,-0.14399116613041013,8.115023209074636,-0.1847990911295415,8.16847777164114,0.040807924999131356,[0 1 2 3 4],[37 28 22 18  5],[0 1 2 3 4],[42 34 19  9  6]
xgb_identity_200_5_3,110,97,13,0.8818181818181818,0.024999999999999994,5.576520817062673e-17,0.1475681818181818,0.02238364176541063,-0.1225681818181818,1.0,0.0,0.5249913744118159,0.13881316718908665,0.47500862558818413,0.9597064964272354,0.00441204076942046,0.8840902312915981,0.018064043077633686,0.07561626513563724,17.16875817976499,16.857704458672632,1.4668933188936408,1.0100147900827396,-0.31105372109235674,-0.09875392091904248,17.525437615143392,-0.25428078146522115,17.682908677568204,0.15552686054617867,[0 1 2 3 4 5 6 7 8 9],[15  7  8 10 15  1 11 10 12 21],[0 1 2 3 4 5 6 7 8 9],[ 9  5  6 10 12  8  9 12 20 19]
xgb_identity_200_10_0,110,83,27,0.7545454545454545,0.04713636363636364,0.0017296113618052293,0.14369318181818183,0.02218522576122972,-0.09655681818181819,0.999996529622035,1.298475269172332e-06,0.5460999047688863,0.13532119541494889,0.45389662485314874,0.9530149780592636,0.005705572944364272,0.8829533866169375,0.0188736640967861,0.07006159144232615,6.223430720791948,6.099465755371747,0.9925850385038578,0.37990771766583364,-0.12396496542020152,-0.16096986903450994,8.125007312456848,-0.22295235174461062,8.187517644772493,0.06198248271010068,[0 1 2 3 4 5],[42 31 22 11  3  1],[0 1 2 3 4 5 6 7],[37 41 14  6  6  4  1  1]
xgb_identity_200_10_3,110,103,7,0.9363636363636364,0.04729545454545456,0.0016110220337809708,0.15280681818181818,0.025463133520488714,-0.10551136363636363,0.9999964064683067,1.178916280927189e-06,0.4968364288740373,0.14533065956680322,0.5031599775942694,0.9537440651111929,0.005923170644904241,0.8791063553852786,0.019326242252468543,0.07463770972591433,17.08246905955426,16.92805890062001,1.4078158267908416,1.055666548344231,-0.15441015893425103,-0.08549926005273305,17.600271734829235,-0.1627043395198573,17.684867590727663,0.07720507946712425,[0 1 2 3 4 5 6 7 8 9],[ 9 12  7  8 12 13 17 10 10 12],[0 1 2 3 4 5 6 7 8 9],[ 8 13 15 10 13 11 11 11  8 10]
xgb_identity_1000_5_0,110,56,54,0.509090909090909,0.004999999999999999,3.485325510664171e-18,0.06664545454545454,0.00991664698404515,-0.06164545454545454,1.0,0.0,0.5219097425961462,0.13705738768725365,0.4780902574038538,0.9832662070568953,0.0019647488418017603,0.9403941260263275,0.008215149991351372,0.04287208103056772,4.144563386378139,4.12699757189039,0.44809766940051915,0.10580490409077403,-0.017565814487748632,-0.0667853873872406,7.2346321546598436,-0.07556829463111486,7.244124326847983,0.00878290724387426,[0 1 2 3 4],[50 36 15  7  2],[0 1 2 3 4],[45 36 21  5  3]
xgb_identity_1000_5_3,110,93,17,0.8454545454545455,0.004999999999999999,3.485325510664171e-18,0.06979545454545454,0.011086098712075321,-0.06479545454545453,1.0,0.0,0.4753661929162355,0.15423483347610586,0.5246338070837645,0.984933637154247,0.0012039198932703163,0.939694111513135,0.009146393346719017,0.045239525641112,14.558307000743744,14.520964250366092,0.6009390149851138,0.40533407632802304,-0.03734275037765222,-0.026811165932364073,15.521873755821472,-0.0454825411211908,15.541518867842434,0.01867137518882673,[0 1 2 3 4 5 6 7 8 9],[ 8  8  8  6 11  7 16 10 17 19],[0 1 2 3 4 5 6 7 8 9],[10  6  6  8 14  8 12 16 18 12]
xgb_identity_1000_10_0,110,56,54,0.509090909090909,0.009986363636363635,5.70325397659979e-05,0.06888863636363636,0.010317638009095829,-0.05890227272727273,1.0,0.0,0.4904050529580306,0.14545251951423457,0.5095949470419694,0.9836045271754722,0.0016550066097936298,0.9384133555023472,0.009632176960701256,0.04519117167312503,4.113196955248573,4.095910065306693,0.5147006206935645,0.10317684916043052,-0.017286889941879657,-0.06422006230971022,7.217483386412638,-0.07286350728065032,7.227624735525165,0.008643444970940092,[0 1 2 3 4],[53 31 19  6  1],[0 1 2 3 4],[52 31 21  4  2]
xgb_identity_1000_10_3,110,90,20,0.8181818181818182,0.009995454545454545,3.3555003828066966e-05,0.06859318181818182,0.009556259002006372,-0.058597727272727274,1.0,0.0,0.4968452547538535,0.13113113048506334,0.5031547452461465,0.9839701642576975,0.0015076415715478218,0.9398757555659479,0.00764464022532782,0.04409440869174952,14.543820831447977,14.507054175901576,0.6085841770117337,0.3777547222833895,-0.03676665554640124,-0.05529018105465112,15.477645088814349,-0.07367350882785166,15.496743726193621,0.018383327773200543,[0 1 2 3 4 5 6 7 8 9],[10 10  8 15 14  5  7 18 11 12],[0 1 2 3 4 5 6 7 8 9],[10 10  9  7 12 15 11 10 13 13]
xgb_log_200_5_0,110,94,16,0.8545454545454545,0.024999999999999994,5.576520817062673e-17,0.1472159090909091,0.024130319855359045,-0.1222159090909091,1.0,0.0,0.5277172950368466,0.1436766990830536,0.4722827049631534,0.9351652856070528,0.009790767488727972,0.8692860584067037,0.021107271977411496,0.06587922720034911,0.12220461935829785,0.1198015785109783,0.01955813668541748,0.011897232491149833,-0.002403040847319557,-0.0015583732229891422,0.12493347127239934,-0.0027598936466489304,0.12602920083476837,0.0012015204236597882,[0],[110],[0],[110]
xgb_log_200_5_3,110,85,25,0.7727272727272727,0.024999999999999994,5.576520817062673e-17,0.14961363636363637,0.020543605345715258,-0.12461363636363637,1.0,0.0,0.5075391525139611,0.12251244117824173,0.4924608474860389,0.9462348126549277,0.007642297841577375,0.8762182979342725,0.017131241487173047,0.07001651472065518,0.08058686516475555,0.07941239454366256,0.009777381955531858,0.006774045831149337,-0.0011744706210929934,0.00033868016112326534,0.08101451905443571,-0.0002485551494232233,0.08158531133673884,0.0005872353105464887,[0 1],[109   1],[0 1],[109   1]
